Site,ETH_htop,Site_htop,GFCC,Site_Tree
AU-Preston,9.231732776617955,5.7,0.10755555152893066,0.225
AU-SurreyHills,12.2225656877898,9.0,0.1615833282470703,0.29
CA-Sunset,15.28515625,9.0,0.17463888168334962,0.12
FI-Kumpula,14.267983789260384,8.4,0.2986296272277832,0.3
FI-Torni,13.628571428571428,8.3,0.17380342483520508,0.15
FR-Capitole,13.533333333333333,15.0,0.07875,0.08
GR-HECKOR,9.266666666666667,7.5,0.021421844959259032,0.0401
KR-Jungnang,6.75,0.0,0.06544444561004639,0.0
KR-Ochang,11.381855111712932,7.5,0.08416666984558105,0.184
MX-Escandon,9.589235127478753,10.42,0.060777778625488284,0.06
JP-Yoyogi,20.304147465437786,15.0,0.0994444465637207,0.06
NL-Amsterdam,13.205374280230327,12.0,0.21266666412353516,0.15
PL-Lipowa,13.055855855855857,12.5,0.1678611183166504,0.16
PL-Narutowicza,15.653061224489797,16.0,0.148972225189209,0.22
SG-TelokKurau06,10.481481481481481,7.3,0.03922222137451172,0.11
UK-KingsCollege,15.789473684210526,13.1,0.12219444274902344,0.03
UK-Swindon,10.331409727947237,6.2,0.16808332443237306,0.09
US-Baltimore,20.7819392426134,11.4,0.34950000762939454,0.536
US-Minneapolis1,15.790139616055846,12.0,0.19172222137451173,0.38
US-Minneapolis2,15.790139616055846,12.0,0.19172222137451173,0.2
US-WestPhoenix,2.821852731591449,4.0,0.012593984603881836,0.05
